* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
295.898462 65.686 175.6082
296.264673 65.682 175.6214
296.630884 65.679 175.6346
296.997095 65.675 175.6481
297.363306 65.671 175.6616
297.729517 65.668 175.6752
298.095728 65.664 175.6890
298.461939 65.660 175.7028
298.828150 65.657 175.7168
299.194361 65.653 175.7308
299.560572 65.649 175.7451
299.926782 65.646 175.7594
300.292993 65.642 175.7738
300.659204 65.638 175.7884
301.025415 65.635 175.8030
301.391626 65.631 175.8179
301.757837 65.628 175.8328
302.124048 65.624 175.8478
302.490259 65.621 175.8630
302.856470 65.617 175.8782
303.222681 65.613 175.8936
303.588892 65.610 175.9091
303.955103 65.606 175.9247
304.321314 65.603 175.9405
304.687525 65.599 175.9564
305.053736 65.596 175.9724
305.419947 65.592 175.9885
305.786158 65.589 176.0048
306.152369 65.585 176.0211
306.518580 65.582 176.0376
306.884791 65.579 176.0542
307.251002 65.575 176.0709
307.617213 65.572 176.0878
307.983424 65.568 176.1047
308.349635 65.565 176.1218
308.715846 65.562 176.1391
309.082057 65.558 176.1564
309.448268 65.555 176.1740
309.814479 65.552 176.1915
310.180690 65.548 176.2093
310.546901 65.545 176.2272
310.913112 65.542 176.2452
311.279322 65.538 176.2633
311.645533 65.535 176.2816
312.011744 65.532 176.2999
312.377955 65.529 176.3185
312.744166 65.525 176.3372
313.110377 65.522 176.3560
313.476588 65.519 176.3749
313.842799 65.516 176.3940
314.209010 65.513 176.4131
314.575221 65.510 176.4325
314.941432 65.507 176.4520
315.307643 65.503 176.4716
315.673854 65.500 176.4914
316.040065 65.497 176.5114
316.406276 65.494 176.5314
316.772487 65.491 176.5516
317.138698 65.488 176.5720
317.504909 65.485 176.5925
317.871120 65.482 176.6131
318.237331 65.479 176.6339
318.603542 65.476 176.6548
318.969753 65.473 176.6759
319.335964 65.470 176.6971
319.702175 65.468 176.7186
320.068386 65.465 176.7401
320.434597 65.462 176.7618
320.800808 65.459 176.7836
321.167019 65.456 176.8056
321.533230 65.453 176.8278
321.899441 65.451 176.8501
322.265651 65.448 176.8726
322.631862 65.445 176.8951
322.998073 65.442 176.9179
323.364284 65.440 176.9409
323.730495 65.437 176.9639
324.096706 65.435 176.9872
324.462917 65.432 177.0106
324.829128 65.429 177.0341
325.195339 65.427 177.0578
325.561550 65.424 177.0817
325.927761 65.422 177.1057
326.293972 65.419 177.1298
326.660183 65.417 177.1541
327.026394 65.415 177.1785
327.392605 65.412 177.2031
327.758816 65.410 177.2278
328.125027 65.408 177.2527
328.491238 65.405 177.2777
328.857449 65.403 177.3029
329.223660 65.401 177.3281
329.589871 65.399 177.3535
329.956082 65.397 177.3791
330.322293 65.395 177.4048
330.688504 65.393 177.4305
331.054715 65.391 177.4565
331.420926 65.389 177.4825
331.787137 65.387 177.5087
332.153348 65.385 177.5350
332.519559 65.383 177.5614
332.885770 65.381 177.5879
333.251981 65.379 177.6144
333.618191 65.378 177.6412
333.984402 65.376 177.6680
334.350613 65.374 177.6948
334.716824 65.373 177.7218
335.083035 65.371 177.7488
335.449246 65.370 177.7760
335.815457 65.368 177.8032
336.181668 65.367 177.8304
336.547879 65.365 177.8578
336.914090 65.364 177.8851
337.280301 65.363 177.9126
337.646512 65.362 177.9401
338.012723 65.361 177.9676
